Außentemperatur (x);Solltemperatur (y)
-30;70
-29,5;69,8
-29;69,5
-28,5;69,3
-28;69
-27,5;68,9
-27;68,6
-26,5;68,4
-26;68,1
-25,5;67,9
-25;67,6
-24,5;67,4
-24;67,1
-23,5;66,9
-23;66,6
-22,5;66,4
-22;66
-21,5;65,8
-21;65,5
-20,5;65,3
-20;65
-19,5;64,7
-19;64,4
-18,5;64,1
-18;63,8
-17,5;63,6
-17;63,2
-16,5;62,9
-16;62,6
-15,5;62,3
-15;62
-14,5;61,7
-14;61,3
-13,5;61
-13;60,6
-12,5;60,4
-12;60
-11,5;59,7
-11;59,2
-10,5;58,9
-10;58,5
-9,5;58,2
-9;57,8
-8,5;57,5
-8;57
-7,5;56,7
-7;56,2
-6,5;55,9
-6;55,4
-5,5;55
-5;54,6
-4,5;54,2
-4;53,7
-3,5;53,3
-3;52,8
-2,5;52,4
-2;51,9
-1,5;51,5
-1;50,9
-0,5;50,5
0;50
0,5;49,5
1;48,9
1,5;48,5
2;47,9
2,5;47,4
3;46,8
3,5;46,3
4;45,7
4,5;45,1
5;44,5
5,5;43,9
6;43,3
6,5;42,7
7;42
7,5;41,4
8;40,7
8,5;40,1
9;39,4
9,5;38,7
10;38
10,5;37,3
11;36,5
11,5;35,8
12;35
12,5;34,2
13;33,4
13,5;32,6
14;31,7
14,5;30,9
15;30
15,5;29,1
16;28,1
16,5;27,2
17;26,2
17,5;25,3
18;24,2
18,5;23,2
19;22,1
19,5;21,1
20;20
